supplier_id,category,p_disruption_3m,signal,top_drivers,recommended_supplier_action,buyer_internal_action
S136,C04,0.099,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S068,C08,0.099,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S176,C08,0.098,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S201,C09,0.098,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S094,C10,0.097,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S153,C09,0.096,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S212,C08,0.095,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S086,C02,0.095,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S090,C06,0.095,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S189,C09,0.095,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S135,C03,0.095,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S113,C05,0.094,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S088,C04,0.094,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S096,C00,0.092,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S156,C00,0.092,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S214,C10,0.092,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S057,C09,0.092,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S010,C10,0.091,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S124,C04,0.089,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S140,C08,0.088,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S129,C09,0.086,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S011,C11,0.085,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S061,C01,0.085,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S229,C01,0.085,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S184,C04,0.084,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S213,C09,0.084,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S042,C06,0.083,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S072,C00,0.083,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S001,C01,0.083,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S126,C06,0.08,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S154,C10,0.079,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S142,C10,0.078,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S125,C05,0.078,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S187,C07,0.077,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S028,C04,0.076,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S082,C10,0.076,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S145,C01,0.074,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S092,C08,0.07,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S116,C08,0.067,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S074,C02,0.065,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S080,C08,0.064,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S182,C02,0.062,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S162,C06,0.062,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S015,C03,0.062,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S111,C03,0.062,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S018,C06,0.061,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S036,C00,0.061,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S236,C08,0.059,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S054,C06,0.059,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S019,C07,0.057,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S077,C05,0.056,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S051,C03,0.056,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S191,C11,0.055,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S122,C02,0.055,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S143,C11,0.055,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S033,C09,0.055,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S004,C04,0.055,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S230,C02,0.054,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S081,C09,0.053,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S200,C08,0.053,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S087,C03,0.052,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S114,C06,0.051,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S029,C05,0.049,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S041,C05,0.048,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S237,C09,0.048,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S168,C00,0.047,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S131,C11,0.047,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S030,C06,0.045,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S169,C01,0.043,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S179,C11,0.042,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S134,C02,0.042,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S166,C10,0.041,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S150,C06,0.04,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S216,C00,0.039,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S155,C11,0.038,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S101,C05,0.036,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S017,C05,0.036,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S207,C03,0.035,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S206,C02,0.035,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S102,C06,0.035,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S052,C04,0.034,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S008,C08,0.034,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S027,C03,0.033,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S048,C00,0.031,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S181,C01,0.03,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S210,C06,0.029,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S172,C04,0.027,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S198,C06,0.027,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S127,C07,0.027,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S108,C00,0.026,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S078,C06,0.023,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S144,C00,0.023,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S053,C05,0.02,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S025,C01,0.02,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S226,C10,0.018,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S234,C06,0.017,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S075,C03,0.017,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S157,C01,0.017,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S161,C05,0.012,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S217,C01,0.012,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S039,C03,0.01,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
